sentimiento_general,limpieza,ubicacion,calidad_precio,aspectos_positivos,aspectos_negativos,resumen,comentario_original
positivo,buena,excelente,buena,"['Ubicación cerca de la estación de metro', 'Maison de maître con decoración superb', 'Apartamento con todo lo necesario', 'Balcon con vistas agradables', 'Supermercado y tiendas cercanas', 'Calidad-precio excelente']","['Ruido del autobús en la calle', 'Falta de bols para el desayuno']","Un apartamento excelente en una ubicación inmejorable, con todo lo necesario para una estancia cómoda y agradable.","On visitait Porto pour la première fois avec ma petite amie et nous avons réservé cet appartement pour 4 jours. Un point très positif est que vous avez la station de métro Marquês au niveau de la jolie petite place qui se trouve juste devant la maison, de là , vous pouvez accéder à toute la ville en un rien de temps. La maison où se trouve l'appartement est une maison de maître , superbement décorée , à l'extérieur comme à l'intérieur. L'appartement en lui même se trouve au dernier étage de la maison ; il est fidèle,à l'identique,aux photos affichées , superbe petit appartement avec tout ce qu'il faut : wifi , 2 télévisions , machine à laver , fer à repasser , lave-vaisselle, sèche cheveux, air conditionné dans le salon et dans la chambre (le rêve) , la salle de bain est petite mais ma foi fonctionnelle , la cuisine comporte tout ce qu'il faut , le salon est cosy , le lit est super confortable , tout le mobilier est de qualité. On prenait le petit-déjeuner sur le balcon qui donne l'air de se trouver perché dans les arbres, super agréable. Il y a un supermarché ""Pingo Doce"" à même pas 500m, et le quartier comporte pharmacie , boulangerie , quelques magasins de vêtements... Si je devais trouver quelques chose à redire je dirais : L'arrêt de bus en bas de l'appartement où les bus stationnent parfois de longues minutes en faisant un peu de bruit, mais vous ne l'entendez absolument pas si les fenêtres sont fermées (quasi tout le temps le cas puisqu'on mettait l'air co), ah oui et aussi on a manqué de bols pour le petit-déjeuner , mais on s'est débrouillé avec des tupperwares ;-) . En bref : 4 jours de rêve , le tout pour un très bon rapport qualité-prix (hors haute saison, nous sommes partis mi-juin) et je recommanderai sincèrement l'adresse à toutes mes connaissances !"
positivo,buena,excelente,buena,"['apartamento limpio y bien decorado', 'ubicación céntrica', 'acceso a tiendas y metro', 'equipamiento adecuado para preparar comidas', 'Wi-fi y aire acondicionado buenos', 'camas cómodas y almohadas suaves', 'comunicación excelente con el anfitrión']","['falta de privacidad en los baños', 'diseño de los baños con paredes de vidrio', 'sillas y bancos incómodos en la mesa de comedor', 'falta de estante en la ducha para shampoo y acondicionador', 'falta de espejo de cuerpo entero en el pasillo']","Apartamento céntrico y bien equipado, pero con algunos problemas de privacidad en los baños. Excelente comunicación con el anfitrión.","We very much enjoyed our stay at Rui’s apartment. It was clean, bright, newly decorated and centrally situated with nearby local shops for essentials and multi-hub metro station (Trinidade) only a few minutes away.  It was adequately equipped for preparing light meals, and we had a dishwasher and washing machine. Wi-fi was good throughout the apartment and the air-conditioning excellent.<br/><br/>The bedrooms were not large as each had its own well equipped en-suite bathroom with constant hot water and high pressure showers. However, some members of our party of six felt that the design, with clear glass walls between the bedroom and the showers, resulted in an inappropriate lack of privacy. A curtain or blind would be a great improvement. The beds were very comfortable, the pillows delightfully soft and the location of the building in a quiet area so our slumbers were not disturbed.<br/> <br/>Communication with Rui and his team was excellent. They arranged our transfers from the airport and at my request did a supermarket shop for us so we had supplies when we arrived.  The dining table had only stools and benches to sit on which were uncomfortable and gave it the feel of a school refectory so I asked for proper chairs which were delivered on the day after our arrival. They also arranged a late checkout for us as which was much appreciated as we had an evening flight home.<br/><br/>A small shelf in the shower for shampoo and conditioner would have been useful and the ladies in our party would have liked a full-length mirror in the hall but these were only minor irritations.<br/><br/>Porto itself is lovely and we hope to return with some more friends next year. We would definitely stay here again if the privacy issue in the bathroom could be resolved."
positivo,muy limpia,buena ubicación,buena relación calidad-precio,"['Limpieza', 'Ubicación céntrica', 'Equipo de cocina completo', 'Calmado y acogedor', 'Balcon con vista a la ciudad', 'Anfitrión amable y atento']",[],"Un apartamento limpio, seguro y acogedor con una excelente ubicación y un anfitrión amable y atento.","Before reservation there was a few review about the house, so I thought it would be like a gamble. After reservation, Joana very kindly explained how to get to the house. We used metro and walked to the house. It was not far(10-15 minutes on foot I guess) The house is like the dream house. It was really clean. Every appliance was there to cook anything I wanted. It was calm and cozy. I could see the street through the windows in the bathroom. Oh, don't worry about the privacy. There is a blind or curtain haha. There is a cute balcony where you can enjoy the calmness and the atmosphere of the city. You could have some tea or coffee there in the morning on a chair. The place was nice to go any tourist attraction. Joana told us the restaurants which are popular to the local people in Porto. I went there and the food was satisfactory. So you can also ask her to recommend some nice local restaurant. Inside the flat, there are two floors. On the first floor, you can cook, eat there or sit on the sofa. On the second floor, there is a bathroom, bed, table, and balcony. Ah, the closet is really really big so you can put anything! At first, I was concerned about bed bugs. But it was really clean and safe. To sum up. the flat is clean, safe, calm and every cooking appliance is equipped, and the water flow is good(of course hot water), and it provides easy access to tourist attractions and lastly but most importantly, the host is really kind and caring..and she is beautiful haha. If my friend or brother said he would go to Porto and didn't know where to stay, I would tell them Joana's flat is the perfect place. Thanks Joana! I enjoyed every moment in Porto because of your kindness and nice room. "
positivo,excepcional,buena,excelente,"['Ubicación tranquila y cerca del centro', 'Pulizia impeccabile', 'Design y comodidad de las habitaciones', 'Gente amable y servicial', 'Espacios comunes amplios y bien equipados', 'Internet de alta velocidad']",[],"Un alojamiento increíble con anfitriones excepcionales, sentimiento de estar en casa.","Mi sento di consigliare questa casa e questi host a tutti voi, ai miei amici e famigliari. Io e il mio ragazzo abbiamo viaggiato molto e visto molti airBNB ma solo qui ci siamo sentiti davvero come a casa. Zona bella e tranquilla a 15 minuti a piedi dal  centro di Porto (o massimo 6 euro di taxi notturno). Facile e gratuito il parcheggio in zona.  La casa e' stata da poco ristrutturata, qualche lavoretto e' ancora in corso e ha diverse stanze in affitto ma  non ci sono rumori molesti perchè tutto e' nuovo e ben insonorizzato. C'è una simpatica gattina che ogni tanto fa capolino in casa ma non disturba e non si fa sentire. Le stanze sono nuovissime, con un design semplice, minimale e accogliente. La nostra stanza era sui toni del bianco e grigio con qualche piccolo tocco di rosso e simpatici cactus che animavano l'ambiente. Pulizia impeccabile ed ogni confort che ti fa sentire a casa: asciugamani morbidi, maxi doccia con vetro trasparente stupenda (non usciresti mai dal lì), letto comodo, simpatico terrazzino coperto con tavolino e sedie per guardare il cielo e bere una birretta o leggere un libro. Non si può mangiare in stanza ma negli spazi comuni che sono enormi e la cucina, nuova, è dotata di ogni confort. Internet e wifi alla massima velocità.<br/>C'è da sottolineare una cosa: questo spazio è stupendo soprattutto grazie agli host! Elena e Francesco sono due persone eccezionali: simpatici, disponibili, sempre pronti a fornire informazioni e attenti a tutto. Non vedo l'ora di tornare, consigliatissimo!<br/>In English: this is a home, not an house! The host are friendly and helpful people. You wille have a wonderful experience!"
positivo,buena,excelente,buena,"['Ubicación céntrica', 'Apartamento espacioso y bien equipado', 'Vista hacia el río', 'Balcon con mobiliario', 'Camas cómodas', 'Baños modernos y limpios', 'Acceso a facilidades como Café Lobito y Gazela Entreparedes']",[],"Apartamento perfecto para visitar Porto, con ubicación céntrica y excelentes comodidades.",Perfect for visiting Porto. Literally everything you need is 5 minutes away. Situated right in the heart of the city. The apartment is stylish. Spacious and well appointed. Great view out of the window towards the river and the South of the city. Comprises a long hallway leading into a spacious living room kitchen combo. Everything appears new stylish and of high quality. All kitchen facilities that you'll need including microwave and even a Nespresso machine. Two large windows look out onto a balcony that has two chairs and a table to watch the sun rise or set. From the living room there's a small anti chamber to the two ample bedrooms. Both doubles with new mattresses and pillows. Two bathrooms - one ensuite and the other of the anti chamber. Again both are stylish and modern and have power showers. When we visited all linen was provided and there was some soap and shower gel in the bathrooms. Tips - 1) for breakfasts go to Café Lobito across the road from the entrance. Open every day but Saturday and do toast to die for. 2) taxis are literally outside your door and there's a rank there that seems to be manned 24 hours a day. 3) Our local bar turned out to be Gazela Entreparedes (look on Google maps) so friendly and 1 minute round the corner. Excellent beer and their speciality is hot dogs that must be tried. 4) there is a lift on the first floor after the first set of stairs to the room on the left - took us two days to find 🙂. Other than that use the funicular to get down to the port area and enjoy the atmosphere and the port drink. Porto is a special place and Marianas apartment only added to the enjoyment. Thanks again. X
positivo,regular,excelente,buena,"['Vista espectacular', 'Ubicación perfecta', 'Hospitalidad de Claudia', 'Encanto histórico del apartamento']","['Dificultad para encontrar el apartamento', 'Jardín no bien mantenido', 'Humedad y olor a moho en el apartamento', 'Colchón delgado y ruidoso']","Apartamento con vista espectacular y ubicación perfecta, pero con algunos problemas de humedad y limpieza.","My cousin Jesse and I stayed in the Porto Manor house for 3 nights. When we arrived in Porto we had a very hard time finding the apartment because our GPS couldn't figure out where the street was because it is in an obscure location. Once we finally found it Claudia was so sweet and helped us find parking in the tight alleyway behind the apartment. She also went out of her way to tell us so many great things to see and do in beautiful Porto. She gave us a map and pointed out key places to see which was so nice of her. The apartment itself is lovely but we wanted to share a few thoughts. The view is spectacular and the actual location of the apartment is perfect. Walking distance to everything. We loved sitting in the back drinking wine and watching the beautiful sunsets over Porto. The yard, however, was not very well maintained as pictured. As wonderful as the ancient stone looks it tends to trap in every amount of moisture possible. The apartment always felt very damp and had a moldy smell to it because of the trapped moisture. The bathroom never dried and our towels were always damp.  However, we overlooked the dampness because it was so charming to stay in a room with so much history. We loved waking up in the morning to the beautiful view of the Porto bridge but the bed itself was very uncomfortable. The mattress was incredibly thin and anytime you moved the bed made a very loud squeaking noise. We aren't complaining because we had such an amazing time in Porto and in our apartment but we thought we would share our experiences. Thank you again for the wonderful hospitality! 
<br/>
<br/>Blakely and Jesse (Florida, USA)"
negativo,mala,excelente,regular,"['Lage muy céntrica', 'Check in y out fácil', 'Pedro muy amable en el check in']","['Falta de limpieza', 'Ruido', 'Wc y lavabo sucios', 'Falta de toallas y papel higiénico', 'Mala calidad del sofá cama']","La ubicación es excelente, pero la limpieza y la calidad del alojamiento son deficientes.","Super zentrale Lage, besser geht nicht. Man muss sich aber bewusst sein, dass es dafür auch lauter ist. <br/>Check in und out war sehr einfach. Wir haben die 10€ Option mit persönlichem Check in dazugebucht. Pedro war wirklich sehr freundlich und nett beim Check in, jedoch lässt die Sauberkeit des AirBnbs zu wünschen übrig. Auf der neuen Bettwäsche waren überall Haare, in der Bettdecke auch. Der Boden war komplett dreckig, jeden Tag waren die Socken schwarz. Das Waschbecken ist undicht, sodass das Wasser in den Schrank tropft und von dort aus auf den Boden.<br/><br/>Die Wohnung ist nicht für 3 Personen geeignet. Es gab nur eine einlagige Toilettenpapierrolle. 1 kleines Handtuch für Hände. Das Schlafsofa kippelt und quietscht bei jeder Bewegung, ist eher nur zum sitzen als schlafen geeignet. <br/>Es gab für 3 Personen nur 1x Bettwäsche dafür 3 Bettlaken, und  3 Decken, aber nützt einem nichts ohne Bettwäsche. Beim Anruf in der Zentrale wurde einem nicht geholfen, man soll alles extra zahlen und es sei alles ausreichend da und 2 Personen müssten sich die Bettwäsche teilen und die Person auf dem Schlafsofa sollte die Bettlaken in Bettwäsche umfunktionieren. Was wir jedoch nicht wollten, weil dies unhygienisch ist und fremde Haare auf der Decke waren.<br/>Erst nach mehrmaligen Schreiben über Airbnb haben wir 1x Bettwäsche und Klopapier am 2. Abend zusätzlich erhalten. <br/><br/>Als Paar ist das AirBnb mit einigen Abstrichen in der Sauberkeit für einen Städtetrip zu empfehlen, da die Lage wirklich perfekt ist. <br/>Für 2 Freunde auch, wenn man kein Problem mit Bettwäsche teilen hat. <br/>Zu Dritt auf keinen Fall wieder."
positivo,buena,buena,buena,"['amplio apartamento', 'limpio', 'cocina equipada', 'buenas camas', 'buena ubicación', 'atención de la anfitriona']",[],"El apartamento de Fatima fue perfecto para nuestra estancia en Porto, amplio, limpio y bien equipado.","As there were 6 of us on holiday together we thought we needed a bit of space to ourselves, but also wanted to be able to all hang out together at times, Fatima's apartment turned out to be perfect for our 3 day stay in Porto.
<br/>
<br/>4 of us were attending the NOS Primavera Sound music festival, while the other 2 wanted to check out the nightlife in Porto.
<br/>
<br/>While it's about 10 minutes walk to Lapa metro stop from the apartment, once there you can be in Porto central in 3 quick stops, alternatively taking a (cheap) cab/Uber directly from the apartment will get you to the Ribeira area in less than 10 minutes.
<br/>
<br/>The apartment is clean and spacious containing, a large living room/dining room, a large kitchen and 4 bedrooms, two containing a large double bed, one with two singles and another with 3 singles (we could really spread out). There were also two bathrooms which helped tremendously in the mornings when we were all preparing to go out.
<br/>
<br/>The kitchen was stocked with tea and coffee (a capsule machine which helped not being too reliant on coffee shops), some other consumables (bread, eggs & milk) as well as a bottle of port for us to all share (thanks Fatima!).
<br/>
<br/>All in all, we had a great holiday in Porto, attending the music festival, port tasting, visiting the beach, wandering around the river, checking out the food market and eating at the amazing Casa De Cha Da Boa Nova. 
<br/>
<br/>Fatima's apartment helped us feel more at home in Porto, and helped make the holiday a very enjoyable one!
<br/>"
positivo,buena,buena,buena,"['zona tranquila', 'fácil acceso a puntos de interés', 'casa acogedora y espaciosa', 'completamente equipada', 'proprietarios amables y disponibles', 'diseño fantástico']",[],Apartamento perfecto en zona tranquila con excelentes servicios y anfitriones amables.,"L’appartamento di Rui e Patricia si trova in una zona tranquilla e dalla quale si raggiungono facilmente tutti i principali punti d’interesse, compreso l’aeroporto grazie alla vicinanza con la metropolitana e la stazione dei treni che è raggiungibile facilmente a piedi. <br/>La casa si trova al terzo piano con ascensore, è accogliente, spaziosa, pulita, luminosa e completa di tutte le comodità, inclusi elettrodomestici come lavastoviglie, pompa di calore, macchina del caffè, bollitore, ecc. (tra questi manca la lavatrice, facilmente sostituibile dalle lavanderie vicino casa). È presente anche un piccolo balconcino.<br/>Il bagno, piccolo ma essenziale, è dotato di una doccia spaziosa; è presente un antibagno con lavandino e un grande specchio.<br/>Rui si è premurato di farci trovare caffè, asciugamani, phon e tutto il necessario per un soggiorno piacevolissimo. Inoltre, ci ha colpito la sua estrema gentilezza e disponibilità: ci ha fornito una mappa della città insieme a tanti suggerimenti su cose da fare, luoghi da visitare e ristoranti dove mangiare.<br/>Abbiamo apprezzato l’idea dei proprietari che hanno trasformato una palazzina con uffici in appartamenti da destinare agli ospiti, ridando nuova vita a mobili e oggetti ormai dimenticati che aggiungono un tocco personale al fantastico design degli ambienti.<br/><br/>Ci sentiamo di consigliarla assolutamente, non siamo riusciti a trovare nessun difetto.<br/><br/>Torneremo sicuramente, grazie Rui e Patricia!"
neutro,regular,buena,regular,"['buena ubicación', 'amabilidad del anfitrión', 'lugar agradable']","['falta de calefacción', 'bajísima temperatura en el apartamento', 'problemas de limpieza en baños', 'olfato a moho en la cocina', 'puerta de la cocina que no cierra', 'problemas con la devolución del depósito']","Agradable lugar con buena ubicación, pero con problemas de calefacción y limpieza. La comunicación con el anfitrión fue amable, pero hubo inconvenientes con la devolución del depósito.","Nice place, good location, clean.  Check-in was with Abel (lives in the adjacent flat) and he was accommodating and friendly.  I would stay there again if it was no cold out.<br/><br/>The flat was VERY cold.  I turned on the heater in the living room and the main bedroom (the only two heaters in the flat) to the highest setting and it did not heat the room for over 2 hours.  I literally had over 8 layers of blankets to try and stay warm.  There is no heat in kitchen, bathrooms or other bedrooms.  So if you come when it is cold outside, ask them to put the heat to 25 for at least 2 hours before your arrival.  If you will use the other bedrooms, expect to be very cold.<br/><br/>Issues that should be resolved<br/>- Bathroom tiles and ceiling need cleaning<br/>- The tiles next to the tub faucet is broken<br/>- Kitchen smells like mildew<br/>- Door in kitchen to laundry area does not close<br/><br/>He took a key deposit upon arrival, but we didn't discuss how to get the money back.  So you can't just leave the keys in the flat and leave, you have to arrange a time with him to leave so you can get your money back.   I find this a bit annoying when the ad says 24/7 check-in/out.  When I left Abel was not there, so I didn't get my deposit back.  He offered to meet me in the city to give it back, but I was already on the way to the airport.   I will just stop by there next time I am in Porto, but it is a waste of my time to do this."
positivo,buena,buena,buena,"['Ubicación tranquila y segura', 'Acceso fácil a las rives del Douro', 'Literie de buena calidad', 'Anfitrión reactivo y amable', 'Vista desde el apartamento', 'Estacionamiento fácil en el barrio']","['Falta de ropa de cama y toallas', 'Falta de utensilios de cocina (cuchillos, ollas, etc.)', 'No hay lavadora en el apartamento']","Excelente ubicación y anfitrión, ideal para parejas. Buenas instalaciones, aunque con algunos detalles a mejorar.","Le logement se situe au 5 ème étage d'un immeuble avec ascenseur. Entrée principale sécurisée avec ouverture par badge. Stationnement assez facile dans le quartier, nous avons toujours eu des places disponibles autour de l'immeuble. Accès aisé aux rives du Douro après avoir descendu une bonne côte pendant une dizaine de minutes. Ne pas avoir abusé du Porto lors de la visite des caves, la remontée est assez raide. Rien à redire sur la propreté du logement qui se situe dans un bâtiment tranquille et au calme. Pas de nuisance sonore constatée pendant le séjour. La literie est de bonne qualité, les couvertures et oreillers en nombre suffisant. Comme signalé à l'hôte, un petit effort pourrait être fait sur la quantité de linge de maison notamment pour les séjours dépassant deux jours. Cependant l'hôte est réactive et fait parvenir assez rapidement les serviettes et torchons devant remplacer ceux qui sont sales (l'appartement n'est pas équipé de lave linge). Un petit effort pourrait aussi être fait sur la quantité d'ustensiles de cuisine (ajouter un égouttoir pour les pâtes ou le riz, changer les couteaux qui ne coupent pas très bien, une ou deux casseroles peuvent être utiles, quelques plats creux aussi...). Notre hôte, Marta est très agréable et la photo mise en annonce est conforme à la vue réelle, un vrai spectacle de jour comme de nuit. Nous recommandons vivement cette location idéale pour un séjour en amoureux."
negativo,mala,excelente,mala,"['ubicación excelente', 'vista del río', 'cama cómoda', 'silencioso por la noche', 'agua caliente']","['baño muy pequeño', 'crecimiento de moho', 'falta de utensilios de limpieza', 'suciedad y mal estado de los electrodomésticos', 'piso roto', 'falta de secadora o tendedero']","El alojamiento tiene una excelente ubicación y vista, pero carece de limpieza y mantenimiento, con varios problemas de infraestructura y servicios.","We booked this place based on reviews from others. The highlight seemed to be ""location"". Sad to say, there is not much else positive to say. We believe in giving honest reviews that will help other travelers, especially if you are coming from far away, as we did.<br/>The location is excellent. The view of the river cannot be beat. The bed (NOT a King as listed) was very comfortable but needed more pillows. Quiet at night except for other guests coming in and out. We found a newer toaster in the kitchen and 2 really nice wine glasses. The coffee maker was broken, we found an old espresso maker that had a broken seal and very stained inside and used that. The coffee cups were cracked and old. There was nothing to wash dishes with except a moldy, dirty sponge. BUT the water was nice and hot. The bathroom was very, very small and had nowhere to put your toiletries. The mold growth was HORRIBLE and unhealthy.  Nowhere to wash clothes, even though a washing machine was supposed to be included. No clothes pins to hang hand washing. This place  could be a little gem if Luis would put some money into it. Fix the broken floor instead of hiding it under a dirty rug!  He did respond to our request for hand soap and dish soap. Leaving some old soap that others have used in the shower is just  disgusting. The fan above the stove is broken also. Beautiful river front and watching the boats on the Duoro is magical."
