Id,SentimientoGeneral,AspectosPositivos,AspectosNegativos,Dificultad,TemasMencionados,Recomendado
0,Positivo,"['Urban spaces', 'Alleyways', 'Detalles y slices de vida en cada esquina de la ciudad', 'La ciudad es el mayor logro de la humanidad', 'La libertad de explorar la ciudad', 'La presencia de detalles y vida en las ciudades del juego']",['No especificado'],No mencionado,"['Ciudades virtuales', 'Diseño de ciudades', 'Humanidad', 'Condición humana', 'Libertad de exploración']",Recomendado
1,Negativo,"['La calidad de contenido', 'El apoyo continuo a la comunidad', 'Las actualizaciones y parches gratuitos']","['La decepción en comparación con los estándares de CDPR', 'La falta de innovación en el género']",No mencionado,"['CDPR', 'La comunidad de jugadores', 'La calidad de contenido', 'La innovación en el género']",No recomendado
2,Negativo,"['La calidad de contenido', 'El apoyo continuo a la comunidad', 'Las actualizaciones y parches gratuitos']","['La decepción en comparación con los estándares de CDPR', 'La falta de innovación en el género']",No mencionado,"['CDPR', 'La comunidad de jugadores', 'La calidad de contenido', 'La innovación en el género']",No
3,Negativo,"['herencia de Dark Souls 3', 'combate similar a Dark Souls 3', 'controles responsivos', 'animaciones de alta calidad', 'diversidad de armas y habilidades enemigas', 'magia más diversa que nunca', 'historia de estilo de From', 'paisajes geográficamente impresionantes', 'biomas estéticamente y mecánicamente diversos', 'sistema de tiempo de día y clima que agrega cambios sutiles en el juego']","['decisiones de diseño no pensadas a fondo', ""refusión de cuestionar los ideales del marco establecido con Demon's Souls"", 'experiencia desagradable', 'no recomendado']",Equilibrado,"['Dark Souls 3', ""Demon's Souls"", 'From', 'historia', 'combate', 'controles', 'animaciones', 'armas y habilidades', 'magia', 'paisajes', 'biomas', 'sistema de tiempo de día y clima']",No recomendado
4,Negativo,"['interesante historia', 'mundo creado por CDPR']","['desilusión con las rutas de vida', 'falta de profundidad en las rutas de vida']",No mencionado,"['historia', 'lore', 'CDPR', 'Cyberpunk 2077', 'Witcher 3']",Recomendado
5,Negativo,['No especificado'],"['Cortes en la versión final del juego', 'NPCs no tienen rutinas ni diálogos variados', 'NPCs desaparecen cuando están fuera de la vista', 'NPCs no entienden ni defienden a los jugadores', 'Falta de implementación de características anunciadas']",No mencionado,"['Desarrollo de juegos', 'Cortes en la versión final', 'NPCs', 'Diseño de juegos', 'Ley de la industria']",No recomendado
6,Positivo,"['combate fenomenal', 'mundo hermoso', 'rica historia', 'sistema de estilos de lucha', 'opciones para explorar diferentes estilos', 'tecnología de combate profundo']","['problemas de rendimiento', 'pérdida de frames en las zonas de carga']",Difícil,"['combate', 'mundo', 'historia', 'dificultad', 'opciones de juego']",Recomendado
7,Positivo,"['combate fenomenal', 'mundo hermoso', 'rica historia', 'sistema de estilos de lucha', 'opciones para explorar diferentes estilos', 'tecnología de combate profundo']","['problemas de rendimiento', 'pérdida de frames en las zonas de carga']",Difícil,"['combate', 'mundo', 'historia', 'dificultad', 'opciones de juego']",Recomendado
8,Positivo,"['breathtaking', 'atmosférico', 'varios distritos', 'ciudad cyberpunk', 'alta tecnología', 'vida baja', 'variedad de personajes']",['No especificado'],No mencionado,"['ciudad cyberpunk', 'alta tecnología', 'vida baja', 'variedad de personajes']",Recomendado
9,Positivo,"['Juego divertido', 'Mejoras significativas después de la lanzamiento', 'Similaridad con juegos de Bethesda']","['Bugs en la versión de lanzamiento', 'Limitaciones en el rolplaying', 'Diferencia entre marketing y realidad']",No mencionado,"['Cyberpunk 2077', 'CD Projekt Red', 'Juegos de rol', 'Open world', 'Bethesda']",Recomendado
10,Negativo,"['La conducción es buena', 'Conducir en motocicleta es divertido']","['Crashes y estancos en la carretera', 'Conducción de otros vehículos es problemática', 'No hay personalización de vehículos', 'Sistema de compra de vehículos es defectuoso', 'Stealth es muy malo']",No mencionado,"['Conducción', 'Stealth', 'Personalización de vehículos']",No recomendado
11,Positivo,"['Gráficos excelentes', 'Diseño del mundo muy detallado', 'Personajes modelo y animación muy bien hechos', 'Historia y narrativa muy buena', 'Diálogos inmersivos', 'Modo de fotografía muy adictivo']","['Bugs y glitches', 'Problemas de rendimiento']",Equilibrado,"['Juego de acción en mundo abierto', 'Diseño de personajes', 'Historia y narrativa', 'Gráficos', 'Rendimiento']",Recomendado
12,Negativo,"['jump button', 'musica', 'horse combat', 'fun', 'addictive', 'consshockingly laggy movement', 'new sneaking around can be fun']","['shockingly laggy movement', 'jank movement', 'world seems very empty', 'stamina consumption feels random', 'graphics are often ugly and washed out', 'ditches many of the better systems from previous games', 'walked back some of the better ideas from the network tests', 'crashed again', 'big mostly empty open world with dodgy traversal mechanics', 'enemies tend to be in line of site of one another', 'backstab is slow enough to leave you open', 'cant really build character around stealth', 'game is done favors comparing it to assassins creed as its often very ugly game assets pop in creatures disappear and all the colors feel very washed out']",Demasiado Difícil,"['Ubisoft', 'Dark Souls', 'Assassins Creed', 'Stealth', 'Character Creation', 'Gameplay']",No recomendado
13,Positivo,"['soundtrack brillante', 'exploración agradable', 'mundos grandes y ambiciosos', 'diseño ético innovador', 'participación del jugador', 'topografía impresionante']",['No especificado'],Equilibrado,"['soundtrack', 'exploración', 'diseño de mundos', 'participación del jugador', 'topografía']",Recomendado
14,Negativo,['No especificado'],"['problemas de rendimiento', 'características no implementadas', 'falta de sistema de IA', 'falta de personalización de personajes', 'falta de replayabilidad', 'falta de diferentes resultados dependiendo del fondo del personaje']",No mencionado,"['Cyberpunk 2077', 'Witcher', 'CD Projekt Red', 'Desarrollo de juegos', 'Problemas de lanzamiento', 'Bugs', 'Rendimiento', 'Gráficos', 'Historia', 'Sidequests', 'Interacciones con NPCs']",No recomendado
15,Negativo,"['la historia y los personajes son muy enganchadores', 'la dinámica entre V y Johnny Silverhand es excelente', 'los personajes secundarios están bien desarrollados', 'la escritura es buena', 'los side jobs son algunos de los mejores contenidos del juego', 'hay contenido memorable que no involucra al elenco principal']","['el juego está lleno de bugs, problemas de rendimiento y glitches', 'no está terminado a la perfección', 'la experiencia de juego puede ser mala si se juega por primera vez con estos problemas']",No mencionado,"['desarrollo de juegos', 'patcheo de juegos', 'historia y narrativa en juegos', 'personajes y desarrollo de personajes', 'escritura y diálogo en juegos']",No recomendado
16,Negativo,"['la historia y los personajes son muy enganchadores', 'la dinámica entre V y Johnny Silverhand es excelente', 'los personajes secundarios están bien desarrollados', 'la escritura es buena', 'los side jobs son algunos de los mejores contenidos del juego', 'hay contenido memorable que no involucra al elenco principal']","['el juego está lleno de bugs, problemas de rendimiento y glitches', 'no está terminado', 'la experiencia de juego puede ser mala si se juega por primera vez con estos problemas']",No mencionado,"['desarrollo de juegos', 'patcheo de juegos', 'historia y narrativa en juegos', 'personajes en juegos', 'escritura en juegos']",No recomendado
17,Negativo,['No especificado'],"['Bugs en el juego', 'Falta de estabilidad', 'Framerate bajo', 'Controles desorganizados', 'Keybinds ineficientes']",No mencionado,"['Bugs', 'Estabilidad', 'Controles', 'Keybinds']",No recomendado
18,Negativo,"['la posibilidad de crear un personaje único', 'la capacidad de personalizar hogares y vehículos', 'la interacción con NPCs', 'la variedad de actividades y lugares a visitar']","['la falta de un juego abierto y sin fin', 'la limitación en la toma de decisiones y su impacto en el juego']",No mencionado,"['juegos de rol', 'opciones de personalización', 'interacción con NPCs', 'mundos futuristas']",No
19,Negativo,"['la posibilidad de crear un personaje único', 'la capacidad de personalizar hogares y vehículos', 'la interacción con NPCs', 'la variedad de actividades y lugares a visitar']","['la falta de un juego abierto y sin fin', 'la limitación en la toma de decisiones y su impacto en el juego']",No mencionado,"['juegos de rol', 'opciones de personalización', 'interacción con NPCs', 'mundos futuristas']",No
20,Negativo,['No especificado'],"['La elección del jugador y el papel de personaje están mal implementados', 'Algunas misiones son muy lineales', 'El juego te lanza sin mucha explicación', 'Los personajes no tienen tiempo para desarrollarse', 'La introducción de personajes es deficiente']",No mencionado,"['Narrativa', 'Juego de rol', 'Elección del jugador', 'Personajes', 'Desarrollo de la historia']",No recomendado
21,Negativo,['No especificado'],"['La elección del jugador y el papel de personaje están mal implementados', 'Algunas misiones son muy lineales', 'El juego te lanza sin mucha explicación', 'Los personajes no tienen tiempo para desarrollarse', 'La introducción de personajes es deficiente']",No mencionado,"['Narrativa', 'Juego de rol', 'Elección del jugador', 'Personajes', 'Desarrollo de la historia']",No recomendado
22,Negativo,['No especificado'],"['La elección del jugador y el papel de personaje están mal implementados', 'Algunas misiones son muy lineales', 'El juego te lanza sin mucha explicación', 'Los personajes no tienen tiempo para desarrollarse', 'La introducción de personajes es deficiente']",No mencionado,"['Narrativa', 'Juego de rol', 'Elección del jugador', 'Personajes', 'Desarrollo de la historia']",No recomendado
23,Positivo,"['la historia', 'el entorno y los personajes', 'la jugabilidad', 'la estabilidad a 30 fps']","['gráficos con algunos errores no jugable', 'requerimientos de hardware']",Equilibrado,"['historia', 'entorno', 'personajes', 'jugabilidad', 'requerimientos de hardware', 'estabilidad']",Recomendado
24,Positivo,"['Juego divertido', 'Cyberware mods emocionantes', 'Setting futurista atractivo', 'Jugabilidad sólida', 'Perks servisables']","['Perks estadísticos no agradan al autor', 'Jugabilidad no innovadora']",No mencionado,"['Cyberpunk', 'Ciudad futurista', 'Cyberware', 'Jugabilidad', 'Perks']",Recomendado
25,Negativo,"['visuales impresionantes', 'atmósfera', 'aspecto de la ciudad', 'open world', 'lore', 'historia', 'sistema de armas', 'side quests']","['minimapa que no se amplía', 'optimización pobre', 'deceitful behavior de CDPR']",No mencionado,"['CDPR', 'bugs', 'desarrollo y lanzamiento del juego']",No recomendado
26,Negativo,"['La banda sonora es perfecta', 'El estilo cyberpunk es completamente acertado', 'La historia principal y las misiones secundarias están bien escritas', 'Los personajes de Panam y Judy están bien desarrollados', 'La caza del asesino en serie fue una misión excelente']","['El juego está lleno de bugs y contenido no terminado', 'No hay suficientes pistas para llenar las estaciones de radio', 'La optimización del juego es mala', 'La historia de Detective River Ward fue cortada']",No mencionado,"['Cyberpunk', 'Punk rock', 'Amor', 'Desarrollo de personajes']",No recomendado
27,Positivo,"['La historia', 'Las visuales', 'La música', 'El mundo de juego bien creado', 'La inmersión desde el principio']","['Numerosos bugs y glitches', 'Minor issues', 'La historia se desmorona al final', 'Algunas finales no satisfactorias', 'La pérdida de tiempo en algunas finales']",No mencionado,"['Cyberpunk 2077', 'Juegos de rol', 'Historia', 'Visuales', 'Música', 'Diseño de mundos']",Recomendado
28,Neutral,"['juego divertido', 'charming', 'relativamente hermoso']","['doloroso', 'arraigado', 'buggy', 'confuso']",Equilibrado,"['cyberpunk', 'realidad', 'expectativas', 'marketing', 'hype']",Recomendado
29,Positivo,"['uno de los mejores mundos abiertos jamás creados', 'experiencia de juego másica', 'modos de juego disponibles desde el lanzamiento']",['No especificado'],Equilibrado,"['Elder Scrolls', 'Bethesda', 'Juegos de rol', 'Mundos abiertos', 'Modos de juego', 'Historia de la industria de los videojuegos']",Recomendado
30,Positivo,"['formula clásica de Souls', 'gran selección de armas y armaduras', 'escenario abierto amplio', 'historia bien escrita y cautivadora', 'nuevo mecanismo de creación intuitivo y fácil de usar', 'todos los tipos de daño y edificios son viables']","['lanzamiento terrible con muchos bugs y problemas', 'equilibrio entre diferentes edificios mecánico', 'encuentros con jefes aburridos', 'contenido reciclado excesivo', 'parches inesperados que rompen edificios']",Equilibrado,"['acción RPG', 'mundos abiertos', 'historia', 'creación', 'edificios', 'jefes', 'equilibrio']",Recomendado
31,Positivo,"['fórmula clásica de Souls', 'gran selección de armas y armaduras', 'escenario abierto', 'historia bien escrita y cautivadora', 'nuevo mecanismo de creación es intuitivo y fácil de usar', 'todos los tipos de daño y edificios son viables']","['lanzamiento terrible con muchos bugs y problemas', 'equilibrio entre diferentes edificios mecánico', 'encuentros con jefes aburridos', 'contenido reciclado excesivo', 'parches inesperados que rompen los edificios']",Equilibrado,"['acción RPG', 'mundos abiertos', 'historia', 'creación', 'edificios', 'jefes', 'equilibrio']",Recomendado
32,Negativo,"['Diseños impresionantes', 'Gráficos impresionantes', 'Collaboración con Grimes', 'Rtx impresionante']","['Desilusión para algunos jugadores', 'No interesante para el autor de la reseña', 'No valorado positivamente por el autor']",No mencionado,"['Cyberpunk 2077', 'Hype', 'Diseños', 'Gráficos', 'Collaboración con artistas']",Recomendado
33,Negativo,"['Diseños impresionantes', 'Gráficos impresionantes', 'Collaboración con Grimes', 'Rtx impresionante']","['Desilusión para algunos jugadores', 'No interesante para el autor de la reseña', 'No valorado positivamente por el autor']",No mencionado,"['Cyberpunk 2077', 'Hype', 'Diseños', 'Gráficos', 'Collaboración con artistas']",Recomendado
34,Negativo,"['ambicioso', 'brillante en muchos aspectos']","['diseño de combate horrible', 'jefes demasiado agresivos', 'animaciones de jefes diseñadas para engañar']",Difícil,"['Elden Ring', 'Bloodborne', 'Soulsborne', 'Diseño de combate']",No recomendado
35,Negativo,['No especificado'],"['visual bugs y glitches', 'hard bugs que impiden la completación de misiones', 'bugs inmersivos', 'mapa no es abierto', 'texturas peores a medida que se sale del área jugable', 'teletransporte a áreas jugables', 'almacenes y edificios con puertas cerradas', '90 misiones secundarias son básicamente misiones de recolección o mensajería', 'no hay nada interesante que hacer en el mundo abierto', 'personajes no jugables que huyen si se les acerca']",No mencionado,"['bugs y glitches', 'juego no es abierto', 'misiones secundarias', 'juego no es interesante']",No recomendado
36,Positivo,"['Es muy inmersivo', 'La jugabilidad es divertida', 'El juego es emocionante']","['El manejo de coches es demasiado rígido', 'Algunos bugs visuales']",Equilibrado,"['Ciudad futurista', 'Implantes', 'Realidad virtual']",Recomendado
37,Negativo,['No especificado'],"['Disponible para PC', 'No es un RPG como se esperaba', 'No cumple con las expectativas de Cyberpunk', 'Portes de consola rotos', 'No tiene un juego de rol profundo']",No mencionado,"['Cyberpunk 2077', 'CD Projekt', 'Juego de rol', 'Acción-aventura', 'Dispositivos de consola', 'PC']",Recomendado
38,Negativo,['No especificado'],"['Marketing engañoso', 'Juego no cumplió con las expectativas', 'Bugs y problemas de rendimiento']",No mencionado,"['Marketing', 'Desarrollo de juegos', 'Expectativas vs realidad']",No
39,Negativo,['No especificado'],"['Marketing engañoso', 'Juego no cumplió con las expectativas', 'Bugs y problemas de rendimiento']",No mencionado,"['Marketing', 'Desarrollo de juegos', 'Expectativas vs realidad']",No recomendado
40,Negativo,['La historia es buena'],"['Bugs y problemas de rendimiento', 'Mediocridad del juego', 'No es un juego cyberpunk genuino']",No mencionado,"['Cyberpunk', 'Bugs', 'Rendimiento', 'Historia']",No
41,Negativo,['La historia es buena'],"['Bugs y problemas de rendimiento', 'Mediocridad del juego', 'No es un juego cyberpunk genuino']",No mencionado,"['Cyberpunk', 'Bugs', 'Rendimiento', 'Historia']",No
42,Negativo,['La jugabilidad de disparo y hacking es divertida'],"['FPS drops comunes', 'Bugs gráficos', 'No optimizado para RTX', 'Bugs menores y glitches']",No mencionado,"['Polish', 'Bugs', 'Optimización', 'Jugabilidad']",No
43,Positivo,"['Es divertido', 'Es completamente jugable', 'Valió el precio a pesar de los problemas actuales', 'Hay una gran cantidad de contenido adicional']","['Limites de munición y inventario', 'Bugs aleatorios', 'Problemas gráficos en las secuencias de corte', 'Animaciones problemáticas']",Equilibrado,"['Cyberpunk 2077', 'Juegos', 'Contenido adicional', 'Precio', 'Problemas técnicos']",Recomendado
44,Negativo,"['La cantidad de contenido', 'La pasión en la creación del juego', 'La arquitectura de la ciudad', 'La atención al detalle en los vehículos', 'La música y los NPC', 'La riqueza y la vibrancia de los detalles del mundo']","['La entrega de contenido secundario', 'La sensación de vacío en el juego', 'La forma de presentar el contenido secundario']",No mencionado,"['La riqueza del contenido', 'La pasión en la creación del juego', 'La entrega de contenido secundario', 'La sensación de vacío en el juego']",No recomendado
45,Negativo,"['juegos de CD Projekt Red son buenos con traducción completa', 'juegos de CD Projekt Red son divertidos']","['combate extraño', 'esperas largas', 'juego demasiado lineal', 'mapa no optimizado']",No mencionado,"['CD Projekt Red', 'The Witcher', 'juegos de rol', 'traducción', 'fan base']",No recomendado
46,Negativo,"['juegos de CD Projekt Red son buenos con traducción completa', 'juegos de CD Projekt Red son divertidos']","['combate extraño', 'esperas largas', 'juego demasiado lineal', 'mapa no optimizado']",No mencionado,"['CD Projekt Red', 'The Witcher', 'juegos de rol', 'traducción', 'fanbase']",No recomendado
47,Negativo,"['juegos de CD Projekt Red son buenos con traducción completa', 'juegos de CD Projekt Red son divertidos']","['combate extraño', 'esperas largas', 'juego demasiado lineal', 'mapa no optimizado']",No mencionado,"['CD Projekt Red', 'The Witcher', 'juegos de rol', 'traducción', 'fan base']",No recomendado
48,Negativo,['No especificado'],"['Combat es similar a Oblivion', 'Juegos rerelesados no han mejorado', 'Juego es superficial', 'Decisiones del jugador no impactan en el mundo o la historia', 'Tonal disonancia en las líneas de historia', 'Conflictos forzados', 'Personajes de dragones no tienen inteligencia', 'Historia podría haber sido más interesante si se interactuara con los dragones como personajes']",No mencionado,"['Edad del juego', 'Combat', 'Historia', 'Personajes', 'Conflictos', 'Tonalidad']",No recomendado
49,Negativo,['No especificado'],"['Bugs', 'Optimización', 'Juego con problemas', 'NPCs que se superponen', 'Elevadores y paredes que se superponen', 'Recomendaciones de especificaciones gráficas inexactas', 'Rendimiento mediocre']",No mencionado,"['Cyberpunk 2077', 'Bugs', 'Optimización', 'Juego con problemas', 'Especificaciones gráficas']",No
50,Negativo,"['Mapa de diseño y visualización impresionantes', 'Contenido inmenso y detalles ocultos', 'Sonido estelar', 'Tema de Tibia Mariners']","['Optimización pobre', 'Juego no puede correr a 60fps con configuración mínima']",No mencionado,"['Optimización', 'Diseño de mapas', 'Sonido', 'Contenido']",No recomendado
51,Negativo,"['Disfrutó jugando durante 50 horas', 'La implementación de DLSS es impresionante']","['Estado inacabado del juego', 'No es lo que se prometió', 'Bugs y problemas de rendimiento', 'Optimización pobre', 'Implementación de RTX ha retrasado el desarrollo', 'No se ajusta a las expectativas de hardware moderno']",No mencionado,"['Cyberpunk', 'Juegos de rol', 'Rendimiento', 'Optimización', 'DLSS', 'RTX']",No recomendado
52,Negativo,"['El juego es hermoso', 'Los interiores son impresionantes', 'Las áreas exteriores son impresionantes']","['El mundo no siente real', 'Los npcs no interactúan con el jugador', 'La policía no persigue al jugador', 'Falta de inmersión en el mundo abierto']",No mencionado,"['Cyberpunk 2077', 'The Witcher 3', 'GTA V', 'Realismo en juegos']",No recomendado
53,Negativo,"['aesthetic', 'vehicles', 'interiors', 'stores', 'characters', 'clothing', 'city districts', 'cyberpunk atmosphere', 'visuales', 'photo mode']","['demasiado ambicioso', 'no recomendado', 'falta de opciones en el modo de fotos', 'falta de opciones para cambiar de vista durante las escenas cortas']",No mencionado,"['cyberpunk', 'blade runner', 'videojuegos', 'creación de personajes']",No
54,Negativo,"['entretenimiento', 'juego', 'jefes']","['pruebas de QA', 'qol', 'crashes', 'corrupción de archivo de guardado', 'griefing']",No mencionado,"['Elden Ring', 'FromSoft', 'crashes', 'griefing']",No
55,Positivo,"['Gráficos impresionantes', 'Visuales top notch', 'Juego abierto bien diseñado', 'Variabilidad de builds', 'Ashes of war increíbles', 'Falta de lugares vacíos en el mundo', 'Secretos y descubrimientos', 'Jefes únicos y secreto', 'Lore oculto', 'Spirit summons divertidos']",['No mencionado'],Equilibrado,"['Gráficos', 'Juego abierto', 'Diseño de niveles', 'Variabilidad de juego', 'Combate', 'Secretos y descubrimientos', 'Lore']",Recomendado
56,Negativo,"['mejores mecánicas de Souls', 'gran diseño de jefes', 'gran historia', 'gran mundo construido']","['problemas no resueltos', 'bugs persistente', 'repetitividad de enemigos', 'copias y pastas de jefes']",Equilibrado,"['dificultad', 'mecánicas', 'historia', 'mundo', 'enemigos', 'bugs']",No
57,Positivo,"['La historia de ferrocarril es buena', 'El mundo es fantástico', 'La arquitectura distópica es destacada', 'Las diferencias entre la ciudad y los badlands son claras', 'El mundo está bien construido', 'Los personajes son sólidos', 'La relación entre los personajes es creíble']","['No es lo que el autor esperaba', 'No es un juego de RPG tan bueno como otros', 'El final es débil']",Equilibrado,"['Cyberpunk 2077', 'Juegos de rol', 'Historia de ferrocarril', 'Diseño de mundos', 'Personajes', 'Final débil']",Recomendado
58,Negativo,"['Estabilidad en 64 bits', 'Mejora en la ocultación de la lluvia', 'Funcionamiento correcto de Alt+Tab', 'Mejora en las distancias de dibujo', 'Inmersión mejorada']","['Creación Club', 'Milking de Skyrim', 'Golpe a la comunidad de modding']",No mencionado,"['Estabilidad', 'Modding', 'Comunidad', 'Golpe a la comunidad', 'Skyrim', 'Creación Club']",No
59,Negativo,"['Estabilidad en 64 bits', 'Mejora en la ocultación de la lluvia', 'Funcionamiento correcto de Alt+Tab', 'Mejora en las distancias de dibujo', 'Inmersión mejorada']","['Creación Club', 'Milking de Skyrim', 'Golpe a la comunidad de modding']",No mencionado,"['Estabilidad', 'Modding', 'Comunidad', 'Golpe a la comunidad', 'Skyrim', 'Creación Club']",No
60,Negativo,"['Juego con horas de juego', 'Ciudad vasta y diversa', 'Técnica y estéticamente impresionante']","['Historia sin impacto emocional', 'Falta de satisfacción', 'Exposición de esfuerzo sin contenido adicional']",No mencionado,"['Cyberpunk 2077', 'Fallout 4', 'Juegos de rol', 'Historia', 'Diseño de la ciudad']",No recomendado
61,Negativo,"['caracteres bien desarrollados', 'diálogo y escenas con el personaje son excelentes']","['juego es superficial', 'errores y bugs frecuentes']",No mencionado,"['Cyberpunk 2077', 'CD Projekt Red', 'esperanzas y decepciones']",No
62,Positivo,"['Mundo enorme y detallado', 'Caracterización de personajes muy completa', 'Gráficos impresionantes', 'Optimización buena', 'Diseño de niveles variado y atractivo']",['Algunos problemas de optimización en ciertas áreas'],Equilibrado,"['Elden Ring', 'Dark Souls 3', 'Diseño de niveles', 'Caracterización de personajes', 'Gráficos', 'Optimización']",Recomendado
63,Positivo,"['El juego es interesante', 'La historia es atractiva', 'La jugabilidad es divertida']","['El juego es buggy', 'Algunos bugs han estado presentes desde el día uno']",No mencionado,"['Cyberpunk 2077', 'Juegos de rol', 'Acción en tercera persona']",Recomendado
64,Positivo,"['El juego es interesante', 'La historia es atractiva', 'La jugabilidad es divertida']","['El juego es buggy', 'Algunos bugs han estado presentes desde el día uno']",No mencionado,"['Cyberpunk 2077', 'Juegos de rol', 'Acción en tercera persona']",Recomendado
65,Neutral,"['La ciudad y los personajes tienen un aspecto impresionante', 'La atmósfera del juego es buena', 'La visualización del juego es excelente', 'No hubo problemas de rendimiento significativos']","['Hay muchos bugs en la versión actual del juego', 'La historia no es tan atractiva como la de otros juegos de la misma desarrolladora', 'La audio puede ser afectado por bugs']",No mencionado,"['Bugs', 'Visualización', 'Audio', 'Historia', 'Juego abierto', 'RPG']",No
66,Positivo,"['Muchas opciones y estilos de juego', 'Juego grande y diverso', 'Mejora el género RPG', 'Atmósfera inmersiva', 'Contenido fuera del main story', 'Elección de opciones que afectan la historia', 'Historias emocionantes, divertidas, oscuras y excitantes']","['Bugs en el juego', 'Problemas de optimización para computadoras antiguas']",Equilibrado,"['Cyberpunk', 'RPG', 'Juegos futuristas', 'Atmósfera inmersiva', 'Elección de opciones', 'Historias emocionantes']",Recomendado
67,Negativo,"['atmósfera de la ciudad', 'gráficos de caras de personajes', 'juego en 1440p 144hz sin problemas']","['dificultades técnicas', 'gráficos un poco borrosos al conducir en mundo abierto']",No mencionado,"['Cyberpunk 2077', 'atmósfera de la ciudad', 'gráficos', 'dificultades técnicas']",No recomendado
68,Neutral,"['La noche en la ciudad es hermosa y variada', 'La iluminación y los colores son perfectos', 'El lugar de Japantown y Little China es gótico y perfecto', 'La música y la acción son emocionantes', 'La narrativa es sólida']","['El sistema de detección es inconfiable', 'El acto 1 es decepcionante', 'La experiencia de juego es ambigua']",Equilibrado,"['Cyberpunk 2077', 'Juegos de acción', 'Narrativa', 'Diseño de niveles']",No recomendado
69,Negativo,"['la ciudad de Night City es la más bella que he visto en un videojuego', 'la ciudad es inmersiva y llena de detalles']","['la ilusión de vida en la ciudad se rompe con la interacción con los NPCs', 'el AI de la multitud es terrible', 'el AI en general es malo y rompe la inmersión']",No mencionado,"['cyberpunk', 'videojuegos', 'ciudad de Night City', 'megacorporaciones', 'relato de la historia']",Recomendado
70,Negativo,['No especificado'],"['Problemas de estructura', 'Bugs y problemas de rendimiento', 'Problemas de historia', 'Falta de control sobre el personaje', 'Misiones repetitivas', 'Historia que pierde su ritmo', 'Acción poco emocionante', 'Falta de profundidad en la historia', 'Contenido problemático']",No mencionado,"['Corporaciones', 'Pobreza', 'Gangs', 'Violencia', 'Política']",No
71,Negativo,"['El mundo y la historia de Cyberpunk es interesante', 'La historia es sólida']","['La interacción con el mundo es superficial', 'Los NPCs no tienen IA', 'El sistema de policía es inaceptable', 'La interactividad en el mundo es muy limitada']",No mencionado,"['Cyberpunk', 'RPG', 'Juego de rol', 'Interacción con el mundo', 'Sistema de policía']",No recomendado
72,Positivo,"['La historia y las misiones están bien hechas y creíbles', 'El diálogo es pulido y divertido', 'Hay 4 opciones de romance específicas por género y 2 adicionales', 'Hay 5 finales diferentes para explorar', 'La experiencia de vida en la ciudad es creíble y divertida', 'El combate en primera persona es emocionante y desafiante']","['Algunas actividades como los casinos y las máquinas tragamonedas están ausentes', 'El manejo de vehículos puede ser un poco jank']",Equilibrado,"['Ciudad futurista', 'Romance', 'Comercio', 'Actividades en la ciudad', 'Combate', 'Historia']",Recomendado
73,Negativo,"['Diseño de los seres', 'Visual design de los criaturas']","['Dificultad no justa', 'Ataques instantáneos incontrolables', 'Repetición de criaturas', 'World vacío']",Demasiado Difícil,"['Dificultad', 'Narrativa', 'Diseño de criaturas', 'World']",No recomendado
74,Positivo,"['Juego divertido', 'Creación de un mundo abierto innovador', 'Diseño de juego variado y accesible', 'Opciones de juego adicionales', 'PvP mejorado', 'Diseño del mundo que aprovecha la escala', 'Variabilidad en los entornos y enemigos']","['PvP con problemas de lag', 'Jefes más fáciles que en juegos anteriores']",Equilibrado,"['Juegos de FromSoftware', 'Diseño de juego', 'PvP', 'Dificultad', 'Diseño del mundo']",Recomendado
75,Positivo,"['presentación de la ciudad de Night City', 'mundo construido con detalles', 'consecuencias de las affiliaciones en el mundo', 'historia principal sin spoilers', 'identidad de V y Johnny']",['No especificado'],No mencionado,"['cyberpunk', 'cultura chicana', 'voodoo', 'identidad', 'consecuencias de la tecnología', 'corporaciones', 'gangs', 'valores familiares']",Recomendado
76,Negativo,['La presentación gráfica en PC es buena'],"['No es un RPG en esencia', 'Interconectados sistemas que no funcionan correctamente', 'Perdida de confianza en CDPR']",No mencionado,"['Cyberpunk 2077', 'CDPR', 'La Witcher 3: Wild Hunt', 'Expectativas no cumplidas']",Recomendado
77,Positivo,"['Jugar perfectamente en calidad ultra', 'Mucha información sobre misiones, biografías, personajes, descripciones de monstruos, lugares y tutoriales', 'Expansiones completamente aparte de la historia', 'Misiones diarias con texto azul y corazones', 'Logotipo de expansión concreto', 'Minijuegos para ganar dinero y experiencia', 'Sistema de combate con ataques rápidos y pesados', 'Pociones y aceites para recargar y fabricar']",['No especificado'],Equilibrado,"['La búsqueda de Yennefer', 'La guerra en el norte', 'La expansión del juego', 'El sistema de combate', 'Las misiones y contratos', 'El sistema de economía y experiencia']",Recomendado
78,Negativo,"['historia vale la pena ver', 'desarrollo de personajes', 'banda sonora única']","['trama lenta y tediosa', 'gunplay mediocre', 'muchos bugs', 'manejo de físicas pésimo', 'texturas difuminadas', 'cargado y crash']",No mencionado,"['cyberpunk', 'noche', 'ciudad', 'mafia', 'deuda', 'robos']",No
